YEAR,TITLE,Genre,DIRECTOR,CAST,Level
2010,Cocktail,,Arun Kumar,"Jayasurya, Samvrutha Sunil,Anoop Menon",2
2010,"Sadgamaya
( സദ്ഗമയ )",,Harikumar,"Suresh Gopi, Navya Nair,Shweta Menon",2
2010,Four Friends,,Saji Surendran,"Jayaram, Meera Jasmine,Jayasurya, Kunchacko Boban,Kamal Hassan",2
2010,"Kaaryasthan
( കാര്യസ്ഥൻ )",,Thomson K Thomas,"Dileep, Akhila, Vandana Menon",2
2010,"Chithrakuzhal
( ചിത്രക്കുഴൽ )",,Majeed Gulistan,"Amal Ashok, Sidharth, Meera Nair, Madhu, Vijayaraghavan,Geetha Vijayan",2
2010,Holidays,,M M Ramachandran,"Vinu Mohan, Kalabhavan Mani, Ranjith Menon, Muktha, Priya Lal",2
2010,"Pathinonnil Vyazham
( പതിനൊന്നിൽ വ്യാഴം )",,Suresh Krishna,"Mukesh, Manya",2
2010,De Nova,,Swabri,"Ajmal Ameer, Auroshika, V.K Sriraman, Kannan Malhotra",2
2010,The Thriller,,B. Unnikrishnan,"Prithviraj, Katherine Theresa,Siddique, Lalu Alex, Sampath Raj, Mallika Kapoor",2
2010,Best of Luck,,M A Nishad,"Prabhu, Urvashi, Mammootty(cameo)",2
2010,College Days,,G N Krishnakumar,"Indrajith, Bhama, Sandhya",2
2010,"Koottukar
( കൂട്ടുകാർ )",,Prasad Vaalacheril,"Vinu Mohan, Bhama",2
2010,Kanyakumari Express,,T S Suresh Babu,"Suresh Gopi, Lena, Babu Antony, Sarayu",2
2010,"Oru Small Family
( ഒരു സ്മോൾ ഫാമിലി )",,Rajasenan,"Rajasenan, Seetha, Kailash,Ananya",2
