Language,Year,Title,Genre,Director,Cast
Hindi,2014,Hasee Toh Phasee,Romance/Comedy,Vinil Mathew,"Sidharth Malhotra, Parineeti Chopra,[15] Adah Sharma"
Hindi,2014,Heartless,Thriller,Shekhar Suman,"Adhyayan Suman, Ariana Ayam, Om Puri, Deepti Naval, Madan Jain, Shekhar Suman[16]"
Hindi,2014,Ya Rab,Drama/Social,Hasnain Hyderabadwala,"Manzar Sehbai, Ajaz Khan, Akhilendra Mishra, Raju Kher, Kishori Shahane, Vikram Singh[17]"
Hindi,2014,Gunday,Action,Ali Abbas Zafar,"Ranveer Singh, Arjun Kapoor, Priyanka Chopra, Irrfan Khan[18]"
Hindi,2014,Kaho Na Kaho,Social,Sanjay Niranjan,"Sikandar, Roshni, Raja[19]"
Hindi,2014,Darr @ the Mall,Horror,Pawan Kripalani,"Jimmy Shergill, Nushrat Bharucha, Arif Zakaria, Asif Basra, Nivedita Bhattacharya[20]"
Hindi,2014,Dee Saturday Night,Drama,Jay Prakash,"Prashant Narayanan, Arif Zakaria, Aman Verma, Mahi Khanduri, Gaurav Dixit, Nazneen Patel[21]"
Hindi,2014,Gulabi Gang (film),Documentary,Nishtha Jain,Sampat Pal Devi[22]
Hindi,2014,Highway,Drama/Romance,Imtiaz Ali,"Randeep Hooda, Alia Bhatt[23]"
Hindi,2014,Karar — The Deal,Thriller,Sabir,"Tarun Arora, Mahek Chahal, Jyothi Rana[24]"
Hindi,2014,Pyar Ka Live Show,Drama,Shailendra Singh Rajput,"Ishrat Ali, Rudraksh Pundhir, Rajni Mehta, Upasana Singh, Mushtaq Khan, Adi Irani, Shiva Rindan[25]"
Hindi,2014,The Dark Secrets Of Tonhi,Drama/Action,Shiraz Henry,"Natasha Sikka, J. Brandon Hill, Alex Peters, Smitha Siah, Priyanka Joshi[26]"
Hindi,2014,Anuradha,Drama,Raju Mavani,"Sachin Khedekar, Smita Jaykar, Disha Choudhary, Shagun Sharma, Rahul Jain, Manoj Joshi, Kishori Shahane, Hrishitaa Bhatt, Aakash Sharma, Raju Mavani, Ganesh Acharya, Manoj Tiwari, Prashant Upadhyay[27]"
