#Year,Title,Genre,Director,Cast,Level
2013,Pranaya Veedhullo,Romantic comedy,Prabhakar Jaini,"Dr. K. V. Ramanachari, Suresh Chandra, Vamshi Krishna, Manaswini, Sri Divya, Arjun",0
2013,Madhumati,Adult romance,Raaj Sreedhar,"Udaya Bhanu, Vishnu Priyan, Siva Kumar, Diksha",0
2013,Second Hand,Romantic comedy,Kishore Tirumala,"Sudheer Verma, Dhanya Balakrishna, Kireeti Damaraju, Vishnu",2
2013,Bunny and Cherry,Comedy,Rajesh Puli,"Prince, Mahat Raghavendra, Kriti, Saba, Brahmanandam",1
2013,Yemito Ee Maaya,Rom-com,Cheran,"Sharwanand, Nithya Menen, Prakash Raj, Santhanam",0
2013,Biryani,Black comedy,Venkat Prabhu,"Karthi, Hansika Motwani, Premgi Amaren, Ramki",1
2013,Uyyala Jampala,Romance,Virinchi Varma,"Raj Tarun, Avika Gor, Punarnavi, Peela Gangadhar",1
2013,Malini 22 Vijayawada,Drama thriller,Sripriya,"Krish J. Sathaar, Nithya Menen, Kovai Sarala, Vidyullekha Raman",0
2012,Bachelors 2,"Comedy,Romance",Jakir,"Jakir, Avinn, Mahabub bhasha, Rajsekhar, Tripti sharma Ali",1
2012,Businessman,"Action,Romance",Puri Jagannadh,"Mahesh Babu, Kajal Aggarwal, Prakash Raj, Shweta Bhardwaj",1
