YEAR,Title,Genre,Director,Cast,LEVEL
2002,Raman Thediya Seethai,Romance,K. P. Jagannath,"Cheran, Pasupathy, Nithin Sathya, Vimala Raman, Remya Nambeesan, Gajala, Karthika",1
2002,Kadhalil Vizhunthen,Romance,P. V. Prasad,"Nakul, Sunaina",1
2002,Sakkarakatti,Romance,Kala Prabhu,"Shanthnoo Bhagyaraj, Ishita Sharma, Vedhika",1
2002,Durai,Action,A. Venkatesh,"Arjun, Kirat Bhattal, Gajala",1
2002,Jai Vigneswara,Animation,James Clifford,,1
2002,Theeyavan,Action,Kadhir,"Uday, Mithun",1
2002,Kasimedu Govindhan,Action,Ramesh,"Ranjith, Meera Priya",1
2002,Kathikappal,Romance,Dinesh Selvaraj,"Anoop, Poornitha, Meera Vasudevan",1
2002,Netru Indru Naalai,Action,Lakshmikanth Chenna,"Ravi Krishna, Tamannaah",1
2002,Aegan,Action Thriller,Raju Sundaram,"Ajith Kumar, Nayantara, Navdeep, Piaa Bajpai",1
2002,Seval,Action,Hari,"Bharath, Poonam Bajwa, Simran",1
2002,Megam,Drama,Jeevarathinam,"Tamilarasan, Ragiraja",1
2002,Poochi,Drama,Velu,Velu,1
2002,Velvi,Drama,Jeans,"Vishwa, Hasini",1
2002,Vaaranam Aayiram,Romance,Gautham Menon,"Suriya, Sameera Reddy, Simran, Divya Spandana",1
2002,Thenavattu,Action,V. V. Kathir,"Jiiva, Poonam Bajwa",1
2002,Ellam Avan Seyal,Drama,Shaji Kailas,"R. K., Raghuvaran, Roja, Bhama",1
2002,Kodaikkanal,Romance,Bose,"Thilak, Poorna",1
2002,"Mahesh, Saranya Matrum Palar",Romance,P. V. Ravi,"Sakthi Vasu, Sandhya",1
2002,Nadigai,Drama,Babu Ganesh,"Babu Ganesh, Tejashree",1
2002,Poo,Romance,Sasi,"Srikanth, Parvathi Menon",1
2002,Utharavindri Ullay Vaa,Action,Vijayan,Vijayan,1
2002,Pudhusu Kanna Pudhusu,Drama,A. R. Venkatesh,"A. R. Venkatesh, Priyankashyalu",1
2002,Saamida,Action,Vadivudayaan,"Sembi, Dhanushya",1
2002,Surya,Action,Jaguar Thangam,"Vijaya Chiranjeevi, Keerthi Chawla",1
2002,Bommalattam,Thriller,Bharathiraja,"Arjun, Nana Patekar, Rukmini Vijayakumar, Kajal Aggarwal",1
2002,Dindigul Sarathy,Comedy,Subramaniam Pillai,"Karunas, Karthika",1
2002,Silambattam,Action,Saravanan,"Silambarasan, Sneha, Sana Khan",1
2002,Abhiyum Naanum,Family Drama,Radha Mohan,"Prakash Raj, Trisha, Aishwarya, Ganesh Venkatraman",1
2002,Thiruvannamalai,Action,Perarasu,"Arjun, Pooja Gandhi",1
